25-09-05 17:13:38.815 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final 
25-09-05 17:13:42.772 [main] INFO  org.mongodb.driver.cluster - No server chosen by com.mongodb.client.internal.MongoClientDelegate$1@4bf03fee from cluster description ClusterDescription{type=REPLICA_SET, connectionMode=MULTIPLE, serverDescriptions=[ServerDescription{address=cluster0-shard-00-02.futbf.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=cluster0-shard-00-01.futbf.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=cluster0-shard-00-00.futbf.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out 
25-09-05 17:13:42.918 [cluster-rtt-ClusterId{value='68bacceeed13d9083a689d23', description='null'}-cluster0-shard-00-00.futbf.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:2, serverValue:17282}] to cluster0-shard-00-00.futbf.mongodb.net:27017 
25-09-05 17:13:42.918 [cluster-ClusterId{value='68bacceeed13d9083a689d23', description='null'}-cluster0-shard-00-01.futbf.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:3, serverValue:17096}] to cluster0-shard-00-01.futbf.mongodb.net:27017 
25-09-05 17:13:42.918 [cluster-ClusterId{value='68bacceeed13d9083a689d23', description='null'}-cluster0-shard-00-02.futbf.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:4, serverValue:17478}] to cluster0-shard-00-02.futbf.mongodb.net:27017 
25-09-05 17:13:42.918 [cluster-rtt-ClusterId{value='68bacceeed13d9083a689d23', description='null'}-cluster0-shard-00-01.futbf.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:5, serverValue:17096}] to cluster0-shard-00-01.futbf.mongodb.net:27017 
25-09-05 17:13:42.918 [cluster-rtt-ClusterId{value='68bacceeed13d9083a689d23', description='null'}-cluster0-shard-00-02.futbf.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:6, serverValue:17470}] to cluster0-shard-00-02.futbf.mongodb.net:27017 
25-09-05 17:13:42.918 [cluster-ClusterId{value='68bacceeed13d9083a689d23', description='null'}-cluster0-shard-00-00.futbf.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:17282}] to cluster0-shard-00-00.futbf.mongodb.net:27017 
25-09-05 17:13:42.919 [cluster-ClusterId{value='68bacceeed13d9083a689d23', description='null'}-cluster0-shard-00-02.futbf.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-02.futbf.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=315125600, setName='atlas-707kmd-shard-0', canonicalAddress=cluster0-shard-00-02.futbf.mongodb.net:27017, hosts=[cluster0-shard-00-00.futbf.mongodb.net:27017, cluster0-shard-00-01.futbf.mongodb.net:27017, cluster0-shard-00-02.futbf.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-02.futbf.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff0000000000000007, setVersion=1, topologyVersion=TopologyVersion{processId=68b9aa0ac7b2c7e05c03bbe9, counter=6}, lastWriteDate=Fri Sep 05 17:13:41 IST 2025, lastUpdateTimeNanos=1819908588100} 
25-09-05 17:13:42.919 [cluster-ClusterId{value='68bacceeed13d9083a689d23', description='null'}-cluster0-shard-00-00.futbf.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-00.futbf.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=315005700, setName='atlas-707kmd-shard-0', canonicalAddress=cluster0-shard-00-00.futbf.mongodb.net:27017, hosts=[cluster0-shard-00-00.futbf.mongodb.net:27017, cluster0-shard-00-01.futbf.mongodb.net:27017, cluster0-shard-00-02.futbf.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-02.futbf.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=1, topologyVersion=TopologyVersion{processId=68b9a9d1105721f72c8b40a0, counter=4}, lastWriteDate=Fri Sep 05 17:13:41 IST 2025, lastUpdateTimeNanos=1819908721000} 
25-09-05 17:13:42.919 [cluster-ClusterId{value='68bacceeed13d9083a689d23', description='null'}-cluster0-shard-00-01.futbf.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-01.futbf.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=316421200, setName='atlas-707kmd-shard-0', canonicalAddress=cluster0-shard-00-01.futbf.mongodb.net:27017, hosts=[cluster0-shard-00-00.futbf.mongodb.net:27017, cluster0-shard-00-01.futbf.mongodb.net:27017, cluster0-shard-00-02.futbf.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-02.futbf.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=1, topologyVersion=TopologyVersion{processId=68b9aa44fc40f0a90a03067c, counter=3}, lastWriteDate=Fri Sep 05 17:13:41 IST 2025, lastUpdateTimeNanos=1819908588100} 
25-09-05 17:13:42.931 [cluster-ClusterId{value='68bacceeed13d9083a689d23', description='null'}-cluster0-shard-00-02.futbf.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Setting max election id to 7fffffff0000000000000007 from replica set primary cluster0-shard-00-02.futbf.mongodb.net:27017 
25-09-05 17:13:42.931 [cluster-ClusterId{value='68bacceeed13d9083a689d23', description='null'}-cluster0-shard-00-02.futbf.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Setting max set version to 1 from replica set primary cluster0-shard-00-02.futbf.mongodb.net:27017 
25-09-05 17:13:42.931 [cluster-ClusterId{value='68bacceeed13d9083a689d23', description='null'}-cluster0-shard-00-02.futbf.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary cluster0-shard-00-02.futbf.mongodb.net:27017 
25-09-05 17:13:43.165 [main] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:7, serverValue:17470}] to cluster0-shard-00-02.futbf.mongodb.net:27017 
25-09-05 17:13:43.600 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@2094bf3d, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@1b17d8ab, org.springframework.security.web.context.SecurityContextPersistenceFilter@a056b26, org.springframework.security.web.header.HeaderWriterFilter@5c234920, org.springframework.security.web.authentication.logout.LogoutFilter@54895681, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@7c4b5ceb, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@250967f1, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@74c121d4, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@7f6b7426, org.springframework.security.web.session.SessionManagementFilter@61b838f2, org.springframework.security.web.access.ExceptionTranslationFilter@29bd85db, org.springframework.security.web.access.intercept.AuthorizationFilter@200d1a3d] 
25-09-05 17:13:43.964 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"] 
25-09-05 17:13:43.987 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path '/journal' 
25-09-05 17:13:43.994 [main] INFO  n.e.journalApp.JournalApplication - Started JournalApplication in 5.639 seconds (JVM running for 6.268) 
